UDI,Product_ID,Type,Air_Temp_K,Process_Temp_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,Machine_Failure,TWF,HDF,PWF,OSF,RNF,Temp_Delta,Power_Watts
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.8
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.4
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.4,74001.2
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.4,56603.5
5,L47184,L,298.2,308.7,1408,40,9,0,0,0,0,0,0,10.5,56320
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.4,47676.2
10,M14869,M,298.5,309,1741,28,21,0,0,0,0,0,0,10.5,48748
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.8
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.9
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.9
14,M14873,M,298.6,309.2,1742,30,37,0,0,0,0,0,0,10.6,52260
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.6,39886
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.6,74632.8
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.6,61092.6
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.4,71177
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.4,53040
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.4,58712.5
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64960
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.4,48536.7
24,L47203,L,299,309.4,1758,25.7,68,0,0,0,0,0,0,10.4,45180.6
25,M14884,M,299,309.4,1561,37.3,70,0,0,0,0,0,0,10.4,58225.3
